snapshot_utc,snapshot_swe,match,home_team,away_team,kickoff_utc,kickoff_swe,bookmaker,home_odds,draw_odds,away_odds,spread_team,spread_point,spread_odds,total_line,over_odds,under_odds,last_update
2026-06-13 18:55:34,2026-06-13 20:55:34,Qatar vs Switzerland,Qatar,Switzerland,2026-06-13 19:00,2026-06-13 21:00,pinnacle,17.66,7.16,1.2,Qatar,1.75,2.13,2.75,1.99,1.91,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Qatar vs Switzerland,Qatar,Switzerland,2026-06-13 19:00,2026-06-13 21:00,pinnacle,17.66,7.16,1.2,Switzerland,-1.75,1.81,2.75,1.99,1.91,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Brazil vs Morocco,Brazil,Morocco,2026-06-13 22:00,2026-06-14 00:00,pinnacle,1.69,3.84,5.75,Brazil,-0.75,1.91,2.25,1.92,1.99,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Brazil vs Morocco,Brazil,Morocco,2026-06-13 22:00,2026-06-14 00:00,pinnacle,1.69,3.84,5.75,Morocco,0.75,2.03,2.25,1.92,1.99,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Haiti vs Scotland,Haiti,Scotland,2026-06-14 01:00,2026-06-14 03:00,pinnacle,6.0,4.65,1.56,Haiti,1.0,2.02,3.0,2.09,1.83,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Haiti vs Scotland,Haiti,Scotland,2026-06-14 01:00,2026-06-14 03:00,pinnacle,6.0,4.65,1.56,Scotland,-1.0,1.91,3.0,2.09,1.83,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Australia vs Turkey,Australia,Turkey,2026-06-14 04:00,2026-06-14 06:00,pinnacle,5.47,3.88,1.71,Australia,0.75,2.01,2.5,2.08,1.84,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Australia vs Turkey,Australia,Turkey,2026-06-14 04:00,2026-06-14 06:00,pinnacle,5.47,3.88,1.71,Turkey,-0.75,1.93,2.5,2.08,1.84,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Germany vs Curaçao,Germany,Curaçao,2026-06-14 17:00,2026-06-14 19:00,pinnacle,1.04,21.0,41.0,Curaçao,3.5,1.86,4.25,1.9,1.93,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Germany vs Curaçao,Germany,Curaçao,2026-06-14 17:00,2026-06-14 19:00,pinnacle,1.04,21.0,41.0,Germany,-3.5,2.0,4.25,1.9,1.93,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Netherlands vs Japan,Netherlands,Japan,2026-06-14 20:00,2026-06-14 22:00,pinnacle,2.0,3.7,3.77,Japan,0.5,1.89,2.5,1.9,1.99,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Netherlands vs Japan,Netherlands,Japan,2026-06-14 20:00,2026-06-14 22:00,pinnacle,2.0,3.7,3.77,Netherlands,-0.5,2.01,2.5,1.9,1.99,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Ivory Coast vs Ecuador,Ivory Coast,Ecuador,2026-06-14 23:00,2026-06-15 01:00,pinnacle,3.66,2.82,2.47,Ecuador,-0.25,2.06,1.75,1.83,2.08,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Ivory Coast vs Ecuador,Ivory Coast,Ecuador,2026-06-14 23:00,2026-06-15 01:00,pinnacle,3.66,2.82,2.47,Ivory Coast,0.25,1.86,1.75,1.83,2.08,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Sweden vs Tunisia,Sweden,Tunisia,2026-06-15 02:00,2026-06-15 04:00,pinnacle,1.91,3.54,4.38,Sweden,-0.5,1.92,2.25,1.96,1.93,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Sweden vs Tunisia,Sweden,Tunisia,2026-06-15 02:00,2026-06-15 04:00,pinnacle,1.91,3.54,4.38,Tunisia,0.5,1.99,2.25,1.96,1.93,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Spain vs Cape Verde,Spain,Cape Verde,2026-06-15 16:00,2026-06-15 18:00,pinnacle,1.08,11.51,28.24,Cape Verde,2.5,1.91,3.5,2.01,1.83,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Spain vs Cape Verde,Spain,Cape Verde,2026-06-15 16:00,2026-06-15 18:00,pinnacle,1.08,11.51,28.24,Spain,-2.5,1.94,3.5,2.01,1.83,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Belgium vs Egypt,Belgium,Egypt,2026-06-15 19:00,2026-06-15 21:00,pinnacle,1.61,4.07,5.82,Belgium,-0.75,1.81,2.5,2.01,1.88,2026-06-13T18:55:16Z
2026-06-13 18:55:34,2026-06-13 20:55:34,Belgium vs Egypt,Belgium,Egypt,2026-06-15 19:00,2026-06-15 21:00,pinnacle,1.61,4.07,5.82,Egypt,0.75,2.12,2.5,2.01,1.88,2026-06-13T18:55:16Z
